Description,Valence Mean,Arousal Mean,Dominance Mean,People Counter
do,4.5,4.5,4.5,1
lock,4.5,4.5,4.5,1
rode,4.5,4.5,4.5,1
high,4.5,4.5,4.5,1
villain,4.5,4.5,4.5,1
slip,4.5,4.5,4.5,1
dinnertim,4.5,4.5,4.5,1
counterfeit,4.5,4.5,4.5,1
sir,4.5,4.5,4.5,1
sistersfor,4.5,4.5,4.5,1
pure,4.5,4.5,4.5,1
parlour,4.5,4.5,4.5,1
forest,4.5,4.5,4.5,1
stand,4.5,4.5,4.5,1
cupboard,4.5,4.5,4.5,1
attend,4.5,4.5,4.5,1
await,4.5,4.5,4.5,1
attent,4.5,4.5,4.5,1
light,4.5,4.5,4.5,1
sit,4.5,4.5,4.5,1
milkpail,4.5,4.5,4.5,1
linen,4.5,4.5,4.5,1
chief,4.5,4.5,4.5,1
ungrat,4.5,4.5,4.5,1
allow,4.5,4.5,4.5,1
furious,4.5,4.5,4.5,1
rampion,4.5,4.5,4.5,1
furnish,4.5,4.5,4.5,1
thigh,4.5,4.5,4.5,1
move,4.5,4.5,4.5,1
whilst,4.5,4.5,4.5,1
vizier,4.5,4.5,4.5,1
bunch,4.5,4.5,4.5,1
perfect,4.5,4.5,4.5,1
broom,4.5,4.5,4.5,1
brook,4.5,4.5,4.5,1
partridg,4.5,4.5,4.5,1
prosper,4.5,4.5,4.5,1
sword,4.5,4.5,4.5,1
flew,4.5,4.5,4.5,1
mention,4.5,4.5,4.5,1
emerald,4.5,4.5,4.5,1
front,4.5,4.5,4.5,1
cage,4.5,4.5,4.5,1
day,4.5,4.5,4.5,1
profound,4.5,4.5,4.5,1
feast,4.5,4.5,4.5,1
ecstaci,4.5,4.5,4.5,1
persia,4.5,4.5,4.5,1
beneath,4.5,4.5,4.5,1
stock,4.5,4.5,4.5,1
footmen,4.5,4.5,4.5,1
wander,4.5,4.5,4.5,1
pantri,4.5,4.5,4.5,1
cowhous,4.5,4.5,4.5,1
influenc,4.5,4.5,4.5,1
playth,4.5,4.5,4.5,1
confess,4.5,4.5,4.5,1
stuf,4.5,4.5,4.5,1
scimitar,4.5,4.5,4.5,1
lattic,4.5,4.5,4.5,1
custard,4.5,4.5,4.5,1
doortap,4.5,4.5,4.5,1
shut,4.5,4.5,4.5,1
thrush,4.5,4.5,4.5,1
perish,4.5,4.5,4.5,1
frank,4.5,4.5,4.5,1
undo,4.5,4.5,4.5,1
templ,4.5,4.5,4.5,1
graze,4.5,4.5,4.5,1
thrust,4.5,4.5,4.5,1
afterward,4.5,4.5,4.5,1
greedi,4.5,4.5,4.5,1
yard,4.5,4.5,4.5,1
enchant,4.5,4.5,4.5,1
could,4.5,4.5,4.5,1
stride,4.5,4.5,4.5,1
length,4.5,4.5,4.5,1
scarc,4.5,4.5,4.5,1
linnet,4.5,4.5,4.5,1
finest,4.5,4.5,4.5,1
resplend,4.5,4.5,4.5,1
sack,4.5,4.5,4.5,1
hitherto,4.5,4.5,4.5,1
bonnet,4.5,4.5,4.5,1
fatigu,4.5,4.5,4.5,1
hazeltre,4.5,4.5,4.5,1
scent,4.5,4.5,4.5,1
sugarcandi,4.5,4.5,4.5,1
smaller,4.5,4.5,4.5,1
monkey,4.5,4.5,4.5,1
strict,4.5,4.5,4.5,1
unknown,4.5,4.5,4.5,1
trembl,4.5,4.5,4.5,1
messag,4.5,4.5,4.5,1
their,4.5,4.5,4.5,1
pantomim,4.5,4.5,4.5,1
beard,4.5,4.5,4.5,1
shelf,4.5,4.5,4.5,1
ogr,4.5,4.5,4.5,1
diminish,4.5,4.5,4.5,1
nobodi,4.5,4.5,4.5,1
waist,4.5,4.5,4.5,1
wet,4.5,4.5,4.5,1
beg,4.5,4.5,4.5,1
yepick,4.5,4.5,4.5,1
throatand,4.5,4.5,4.5,1
lover,4.5,4.5,4.5,1
tommi,4.5,4.5,4.5,1
clip,4.5,4.5,4.5,1
terribl,4.5,4.5,4.5,1
partnership,4.5,4.5,4.5,1
tonight,4.5,4.5,4.5,1
cavern,4.5,4.5,4.5,1
have,4.5,4.5,4.5,1
close,4.5,4.5,4.5,1
throat,4.5,4.5,4.5,1
waken,4.5,4.5,4.5,1
border,4.5,4.5,4.5,1
she,4.5,4.5,4.5,1
aladdin,4.5,4.5,4.5,1
bough,4.5,4.5,4.5,1
rous,4.5,4.5,4.5,1
mustapha,4.5,4.5,4.5,1
twentytwo,4.5,4.5,4.5,1
divert,4.5,4.5,4.5,1
singl,4.5,4.5,4.5,1
who,4.5,4.5,4.5,1
whi,4.5,4.5,4.5,1
discov,4.5,4.5,4.5,1
firefli,4.5,4.5,4.5,1
clamber,4.5,4.5,4.5,1
clasp,4.5,4.5,4.5,1
gather,4.5,4.5,4.5,1
request,4.5,4.5,4.5,1
pipe,4.5,4.5,4.5,1
determin,4.5,4.5,4.5,1
son,4.5,4.5,4.5,1
affair,4.5,4.5,4.5,1
bring,4.5,4.5,4.5,1
chicken,4.5,4.5,4.5,1
leg,4.5,4.5,4.5,1
o,4.5,4.5,4.5,1
ear,4.5,4.5,4.5,1
nois,4.5,4.5,4.5,1
tire,4.5,4.5,4.5,1
youngest,4.5,4.5,4.5,1
upstair,4.5,4.5,4.5,1
brushwood,4.5,4.5,4.5,1
suppos,4.5,4.5,4.5,1
sparkl,4.5,4.5,4.5,1
fuel,4.5,4.5,4.5,1
forfeit,4.5,4.5,4.5,1
meant,4.5,4.5,4.5,1
beat,4.5,4.5,4.5,1
familiar,4.5,4.5,4.5,1
pave,4.5,4.5,4.5,1
gratifi,4.5,4.5,4.5,1
dishearten,4.5,4.5,4.5,1
ordain,4.5,4.5,4.5,1
summon,4.5,4.5,4.5,1
dearest,4.5,4.5,4.5,1
aviari,4.5,4.5,4.5,1
contain,4.5,4.5,4.5,1
greatgrandmoth,4.5,4.5,4.5,1
widow,4.5,4.5,4.5,1
madam,4.5,4.5,4.5,1
farthest,4.5,4.5,4.5,1
we,4.5,4.5,4.5,1
powder,4.5,4.5,4.5,1
undercook,4.5,4.5,4.5,1
entranc,4.5,4.5,4.5,1
still,4.5,4.5,4.5,1
closet,4.5,4.5,4.5,1
monstrous,4.5,4.5,4.5,1
written,4.5,4.5,4.5,1
viper,4.5,4.5,4.5,1
direst,4.5,4.5,4.5,1
bought,4.5,4.5,4.5,1
entic,4.5,4.5,4.5,1
sorrow,4.5,4.5,4.5,1
deliver,4.5,4.5,4.5,1
dislik,4.5,4.5,4.5,1
courtyard,4.5,4.5,4.5,1
spoil,4.5,4.5,4.5,1
undoubt,4.5,4.5,4.5,1
thumb,4.5,4.5,4.5,1
instant,4.5,4.5,4.5,1
equal,4.5,4.5,4.5,1
admit,4.5,4.5,4.5,1
admir,4.5,4.5,4.5,1
ashengrey,4.5,4.5,4.5,1
swim,4.5,4.5,4.5,1
swallow,4.5,4.5,4.5,1
wear,4.5,4.5,4.5,1
wale,4.5,4.5,4.5,1
christen,4.5,4.5,4.5,1
wall,4.5,4.5,4.5,1
arriv,4.5,4.5,4.5,1
walk,4.5,4.5,4.5,1
suppertim,4.5,4.5,4.5,1
laugh,4.5,4.5,4.5,1
quit,4.5,4.5,4.5,1
slowli,4.5,4.5,4.5,1
tread,4.5,4.5,4.5,1
compos,4.5,4.5,4.5,1
drank,4.5,4.5,4.5,1
besid,4.5,4.5,4.5,1
halffrozen,4.5,4.5,4.5,1
eloqu,4.5,4.5,4.5,1
feather,4.5,4.5,4.5,1
immedi,4.5,4.5,4.5,1
treasur,4.5,4.5,4.5,1
halfcircl,4.5,4.5,4.5,1
presenc,4.5,4.5,4.5,1
spaniel,4.5,4.5,4.5,1
feroci,4.5,4.5,4.5,1
furnitur,4.5,4.5,4.5,1
hautboy,4.5,4.5,4.5,1
will,4.5,4.5,4.5,1
mousehol,4.5,4.5,4.5,1
agat,4.5,4.5,4.5,1
wild,4.5,4.5,4.5,1
ill,4.5,4.5,4.5,1
thus,4.5,4.5,4.5,1
partner,4.5,4.5,4.5,1
deed,4.5,4.5,4.5,1
greater,4.5,4.5,4.5,1
ransom,4.5,4.5,4.5,1
misfortun,4.5,4.5,4.5,1
began,4.5,4.5,4.5,1
cross,4.5,4.5,4.5,1
cabbageleaf,4.5,4.5,4.5,1
difficult,4.5,4.5,4.5,1
prais,4.5,4.5,4.5,1
ball,4.5,4.5,4.5,1
dusk,4.5,4.5,4.5,1
forgotten,4.5,4.5,4.5,1
upon,4.5,4.5,4.5,1
overset,4.5,4.5,4.5,1
magician,4.5,4.5,4.5,1
collar,4.5,4.5,4.5,1
nevertheless,4.5,4.5,4.5,1
colour,4.5,4.5,4.5,1
well,4.5,4.5,4.5,1
command,4.5,4.5,4.5,1
choos,4.5,4.5,4.5,1
usual,4.5,4.5,4.5,1
dressingt,4.5,4.5,4.5,1
flesh,4.5,4.5,4.5,1
oak,4.5,4.5,4.5,1
mistaken,4.5,4.5,4.5,1
distant,4.5,4.5,4.5,1
surpass,4.5,4.5,4.5,1
dost,4.5,4.5,4.5,1
hayloft,4.5,4.5,4.5,1
point,4.5,4.5,4.5,1
add,4.5,4.5,4.5,1
ridinghood,4.5,4.5,4.5,1
crack,4.5,4.5,4.5,1
ought,4.5,4.5,4.5,1
footplank,4.5,4.5,4.5,1
fate,4.5,4.5,4.5,1
piec,4.5,4.5,4.5,1
brambl,4.5,4.5,4.5,1
wooer,4.5,4.5,4.5,1
burden,4.5,4.5,4.5,1
loss,4.5,4.5,4.5,1
like,4.5,4.5,4.5,1
sofa,4.5,4.5,4.5,1
plough,4.5,4.5,4.5,1
entangl,4.5,4.5,4.5,1
scullion,4.5,4.5,4.5,1
heed,4.5,4.5,4.5,1
lose,4.5,4.5,4.5,1
candl,4.5,4.5,4.5,1
page,4.5,4.5,4.5,1
heel,4.5,4.5,4.5,1
exceed,4.5,4.5,4.5,1
glare,4.5,4.5,4.5,1
womanwhom,4.5,4.5,4.5,1
hair,4.5,4.5,4.5,1
proper,4.5,4.5,4.5,1
thiev,4.5,4.5,4.5,1
librari,4.5,4.5,4.5,1
pebbleston,4.5,4.5,4.5,1
lead,4.5,4.5,4.5,1
cockatoo,4.5,4.5,4.5,1
broad,4.5,4.5,4.5,1
avoid,4.5,4.5,4.5,1
desol,4.5,4.5,4.5,1
shone,4.5,4.5,4.5,1
leap,4.5,4.5,4.5,1
leav,4.5,4.5,4.5,1
settl,4.5,4.5,4.5,1
approv,4.5,4.5,4.5,1
encourag,4.5,4.5,4.5,1
slight,4.5,4.5,4.5,1
mantl,4.5,4.5,4.5,1
host,4.5,4.5,4.5,1
milkfac,4.5,4.5,4.5,1
swept,4.5,4.5,4.5,1
throne,4.5,4.5,4.5,1
about,4.5,4.5,4.5,1
rare,4.5,4.5,4.5,1
foretold,4.5,4.5,4.5,1
toadstool,4.5,4.5,4.5,1
emperor,4.5,4.5,4.5,1
desper,4.5,4.5,4.5,1
ahunt,4.5,4.5,4.5,1
owe,4.5,4.5,4.5,1
guard,4.5,4.5,4.5,1
weather,4.5,4.5,4.5,1
brush,4.5,4.5,4.5,1
dug,4.5,4.5,4.5,1
forget,4.5,4.5,4.5,1
ailment,4.5,4.5,4.5,1
danceyou,4.5,4.5,4.5,1
pictur,4.5,4.5,4.5,1
cinderella,4.5,4.5,4.5,1
appl,4.5,4.5,4.5,1
buy,4.5,4.5,4.5,1
unexpect,4.5,4.5,4.5,1
windowpan,4.5,4.5,4.5,1
conditionthat,4.5,4.5,4.5,1
mutter,4.5,4.5,4.5,1
but,4.5,4.5,4.5,1
grate,4.5,4.5,4.5,1
eas,4.5,4.5,4.5,1
ha,4.5,4.5,4.5,1
he,4.5,4.5,4.5,1
veget,4.5,4.5,4.5,1
seiz,4.5,4.5,4.5,1
leathern,4.5,4.5,4.5,1
troubl,4.5,4.5,4.5,1
roam,4.5,4.5,4.5,1
belov,4.5,4.5,4.5,1
dame,4.5,4.5,4.5,1
itit,4.5,4.5,4.5,1
bewail,4.5,4.5,4.5,1
whisper,4.5,4.5,4.5,1
dearth,4.5,4.5,4.5,1
penni,4.5,4.5,4.5,1
pit,4.5,4.5,4.5,1
probabl,4.5,4.5,4.5,1
forestw,4.5,4.5,4.5,1
boot,4.5,4.5,4.5,1
other,4.5,4.5,4.5,1
futur,6.75,5.25,4.75,2
rememb,4.5,4.5,4.5,1
wing,4.5,4.5,4.5,1
stay,4.5,4.5,4.5,1
stag,4.5,4.5,4.5,1
foil,4.5,4.5,4.5,1
stab,4.5,4.5,4.5,1
amend,4.5,4.5,4.5,1
kindl,4.5,4.5,4.5,1
veil,4.5,4.5,4.5,1
humbl,4.5,4.5,4.5,1
appoint,4.5,4.5,4.5,1
spectacl,4.5,4.5,4.5,1
armor,4.5,4.5,4.5,1
sash,4.5,4.5,4.5,1
gruffli,4.5,4.5,4.5,1
